Time,Marker,Images
454936.507901385,Markers.START_EXPERIMENT, 
454938.341676932,Markers.START_FIXATION, 
454939.842009873,Markers.END_FIXATION, 
454939.842124559,Markers.START_DISPLAY_IMAGE,000000012805.jpg
454941.445910463,Markers.END_DISPLAY_IMAGE, 
454941.445956717,Markers.START_FIXATION, 
454942.946397441,Markers.END_FIXATION, 
454942.946497492,Markers.START_DISPLAY_IMAGE,000000572689.jpg
454944.253754211,Markers.END_DISPLAY_IMAGE, 
454944.2537983,Markers.START_FIXATION, 
454945.754038797,Markers.END_FIXATION, 
454945.754149215,Markers.START_DISPLAY_IMAGE,000000577035.jpg
454946.268931225,Markers.END_DISPLAY_IMAGE, 
454946.26897572,Markers.START_FIXATION, 
454947.769170868,Markers.END_FIXATION, 
454947.769269804,Markers.START_DISPLAY_IMAGE,000000012991.jpg
454948.165895845,Markers.END_DISPLAY_IMAGE, 
454948.165940656,Markers.START_FIXATION, 
454949.666350926,Markers.END_FIXATION, 
454949.666422723,Markers.START_DISPLAY_IMAGE,000000577830.jpg
454949.886078889,Markers.END_DISPLAY_IMAGE, 
454949.886137193,Markers.START_FIXATION, 
454951.38629186,Markers.END_FIXATION, 
454951.386362635,Markers.START_DISPLAY_IMAGE,000000005115.jpg
